postcode;huisnummer;woningtype;hellingshoek;ori‰ntatie;oppervlakte
1013GM;1;Vrijstaand;5;Oost;48
1031HX;1;Rijtjeshuis;5;Zuid-oost;47
1071LS;1;Vrijstaand;5;Oost;40
1082MD;1;Rijtjeshuis;5;Zuid-west;24
1105BV;1;Flat;5;Zuid;48
1213XL;1;Rijtjeshuis;5;Zuid;36
1217GP;1;2-onder-1;5;Zuid-west;50
1221CW;1;Vrijstaand;5;Zuid;37
1231AT;1;2-onder-1;5;Zuid-oost;23
1273NA;1;Flat;5;Zuid-oost;35
1402PT;1;Flat;5;Zuid;46
2132WT;1;2-onder-1;5;Zuid-west;18
2283XS;1;Flat;5;Zuid;44
3401MA;1;Rijtjeshuis;5;Oost;46
3402DM;1;Flat;5;Zuid-oost;43
3402PT;1;Rijtjeshuis;5;Oost;46
3402XB;1;Rijtjeshuis;5;Oost;38
3402XE;1;Flat;5;Zuid-oost;31
3402XN;1;Flat;5;Zuid-oost;50
3402XT;1;Rijtjeshuis;5;Zuid-oost;45
3402ZC;1;2-onder-1;5;Zuid;37
3402ZH;1;Rijtjeshuis;5;Oost;49
3402ZM;1;Vrijstaand;5;Oost;41
3402ZT;1;Flat;5;Zuid;18
3405CD;1;2-onder-1;5;Zuid-west;27
3417GR;1;Flat;5;Oost;36
3417PC;1;Vrijstaand;5;Zuid-oost;34
3437PK;1;Rijtjeshuis;5;Zuid;34
3437XS;1;Flat;5;Zuid;39
3439LK;1;Rijtjeshuis;5;Zuid-oost;27
3442ES;1;Rijtjeshuis;5;Zuid-west;31
3451AA;1;Vrijstaand;5;Oost;18
3451AC;1;Flat;5;Zuid-west;40
3451AG;1;Rijtjeshuis;5;Zuid-west;26
3451AK;1;Flat;5;Zuid-west;23
3451AL;1;2-onder-1;5;Oost;33
3451AN;1;Flat;5;Oost;47
3451BA;1;2-onder-1;5;Zuid;23
3451BD;1;Vrijstaand;5;Zuid-west;50
3451BG;1;Flat;5;Zuid;18
3451BJ;1;Flat;5;Zuid-west;47
3451BL;1;Flat;5;Oost;46
3451BM;1;Flat;5;Zuid-west;47
3451BN;1;2-onder-1;5;Zuid-west;22
3451BZ;1;Rijtjeshuis;5;Oost;35
3451CA;1;Rijtjeshuis;5;Oost;32
3451CD;1;Flat;5;Zuid-oost;26
3451CL;1;Rijtjeshuis;5;Zuid-oost;47
3451DB;1;2-onder-1;5;Zuid-oost;32
3451EV;1;2-onder-1;5;Zuid;42
3451GG;1;Flat;5;Oost;36
3451GN;1;2-onder-1;5;Zuid-west;36
3451HJ;1;Vrijstaand;5;Oost;49
3451HS;1;Rijtjeshuis;5;Zuid-oost;35
3451HW;1;Flat;5;Zuid-west;26
3451JK;1;Rijtjeshuis;5;Oost;23
3451JL;1;2-onder-1;5;Zuid;19
1016CG;1;2-onder-1;10;Zuid-oost;25
1072RG;1;2-onder-1;10;Zuid-west;26
1941BM;1;Flat;10;Zuid-west;29
2033AP;1;Flat;10;Zuid-west;49
2613VN;1;Flat;10;Oost;50
3401XZ;1;2-onder-1;10;Zuid-west;40
3402DR;1;Rijtjeshuis;10;Zuid-west;36
3402GJ;1;Vrijstaand;10;Zuid;40
3402XM;1;Vrijstaand;10;Zuid-oost;39
3402XP;1;2-onder-1;10;Zuid-west;33
3402XS;1;2-onder-1;10;Zuid;44
3402ZJ;1;Flat;10;Oost;41
3402ZN;1;Rijtjeshuis;10;Oost;38
3402ZP;1;Vrijstaand;10;Oost;42
3402ZR;1;2-onder-1;10;Zuid;36
3402ZW;1;Vrijstaand;10;Oost;33
3417GG;1;Flat;10;Zuid;47
3436BR;1;2-onder-1;10;Zuid-west;19
3436HM;1;Vrijstaand;10;Oost;47
3437EE;1;Vrijstaand;10;Zuid-west;37
3439LD;1;2-onder-1;10;Zuid-west;37
3451AD;1;Flat;10;Oost;40
3451AJ;1;Vrijstaand;10;Oost;41
3451AZ;1;Rijtjeshuis;10;Zuid-west;33
3451BB;1;2-onder-1;10;Zuid;27
3451BC;1;Rijtjeshuis;10;Zuid;34
3451BH;1;2-onder-1;10;Zuid-oost;36
3451BK;1;Rijtjeshuis;10;Zuid-west;35
3451BS;1;Flat;10;Zuid-west;18
3451BV;1;Flat;10;Zuid-west;44
3451BX;1;Vrijstaand;10;Zuid;22
3451CB;1;Vrijstaand;10;Oost;29
3451CE;1;Rijtjeshuis;10;Zuid;23
3451CG;1;2-onder-1;10;Zuid-west;39
3451CH;1;Flat;10;Zuid-oost;24
3451CR;1;2-onder-1;10;Oost;49
3451CW;1;2-onder-1;10;Zuid;42
3451CX;1;Vrijstaand;10;Zuid;50
3451CZ;1;2-onder-1;10;Zuid;28
3451DE;1;Rijtjeshuis;10;Oost;21
3451EC;1;Vrijstaand;10;Zuid-west;35
3451EJ;1;Rijtjeshuis;10;Zuid-west;41
3451EZ;1;Rijtjeshuis;10;Zuid-west;39
3451GK;1;Vrijstaand;10;Zuid-west;36
3451GL;1;2-onder-1;10;Zuid;44
3451GM;1;Flat;10;Zuid-west;49
3451GX;1;Flat;10;Oost;22
3451HB;1;2-onder-1;10;Oost;22
3451JJ;1;Vrijstaand;10;Zuid;20
1077AR;1;2-onder-1;20;Zuid-oost;25
1351GB;1;Rijtjeshuis;20;Zuid-oost;40
2106EC;1;Vrijstaand;20;Oost;28
3402TL;1;Rijtjeshuis;20;Zuid;28
3402XA;1;Rijtjeshuis;20;Zuid;19
3402XD;1;Rijtjeshuis;20;Zuid-west;22
3402ZE;1;Vrijstaand;20;Oost;40
3402ZG;1;Rijtjeshuis;20;Zuid-oost;18
3402ZL;1;Vrijstaand;20;Oost;26
3402ZZ;1;Rijtjeshuis;20;Zuid;38
3435PB;1;Rijtjeshuis;20;Zuid-west;50
3438LA;1;2-onder-1;20;Zuid-west;49
3439LC;1;Rijtjeshuis;20;Zuid-oost;19
3439LM;1;Vrijstaand;20;Zuid;29
3451AE;1;Rijtjeshuis;20;Zuid-oost;19
3451AH;1;2-onder-1;20;Zuid-oost;24
3451AM;1;2-onder-1;20;Zuid;47
3451AX;1;Flat;20;Zuid-west;48
3451BP;1;Flat;20;Zuid-oost;21
3451BT;1;Vrijstaand;20;Zuid-oost;26
3451BW;1;Vrijstaand;20;Oost;46
3451CS;1;Flat;20;Oost;25
3451DD;1;Flat;20;Zuid;38
3451DG;1;Rijtjeshuis;20;Zuid-oost;48
3451EE;1;Vrijstaand;20;Zuid-oost;24
3451EN;1;Rijtjeshuis;20;Zuid;46
3451EP;1;Rijtjeshuis;20;Oost;24
3451ER;1;2-onder-1;20;Zuid-west;47
3451ET;1;2-onder-1;20;Zuid-oost;38
3451EW;1;Vrijstaand;20;Oost;27
3451EX;1;Rijtjeshuis;20;Zuid;36
3451GJ;1;Vrijstaand;20;Zuid;29
3451HA;1;Rijtjeshuis;20;Zuid;37
3451HG;1;Flat;20;Zuid;45
3451HV;1;2-onder-1;20;Zuid-west;29
3451JA;1;Flat;20;Zuid;36
3451JB;1;Flat;20;Zuid-west;30
3451JC;1;Rijtjeshuis;20;Oost;19
3451JD;1;Flat;20;Zuid-west;48
3451JG;1;2-onder-1;20;Zuid;38
1021JL;1;Vrijstaand;30;Oost;25
1031CL;1;Vrijstaand;30;Zuid-oost;36
1103JT;1;2-onder-1;30;Zuid-oost;28
1275DK;1;2-onder-1;30;Oost;18
2661JN;1;2-onder-1;30;Zuid-oost;29
3023KL;1;Rijtjeshuis;30;Zuid;29
3402DA;1;Flat;30;Zuid-oost;18
3402DK;1;Rijtjeshuis;30;Zuid;42
3402GK;1;Rijtjeshuis;30;Zuid;49
3402GN;1;Flat;30;Oost;33
3402XC;1;Flat;30;Oost;42
3402ZA;1;2-onder-1;30;Zuid;19
3402ZK;1;Flat;30;Oost;47
3402ZS;1;Rijtjeshuis;30;Zuid-oost;36
3402ZV;1;Vrijstaand;30;Zuid-oost;41
3417LD;1;2-onder-1;30;Zuid-oost;37
3437PV;1;Rijtjeshuis;30;Oost;45
3438LB;1;Flat;30;Zuid-west;24
3447GX;1;Rijtjeshuis;30;Zuid;37
3451AB;1;2-onder-1;30;Zuid;40
3451AP;1;2-onder-1;30;Zuid-oost;37
3451AR;1;Vrijstaand;30;Zuid-west;29
3451AS;1;Rijtjeshuis;30;Zuid-west;36
3451AT;1;2-onder-1;30;Oost;30
3451AV;1;Flat;30;Zuid-west;19
3451AW;1;Flat;30;Zuid-west;47
3451BE;1;Rijtjeshuis;30;Zuid;20
3451BR;1;Vrijstaand;30;Zuid-oost;28
3451CC;1;Rijtjeshuis;30;Oost;21
3451CK;1;2-onder-1;30;Zuid-oost;20
3451CM;1;Rijtjeshuis;30;Oost;43
3451CN;1;Flat;30;Zuid-west;47
3451CP;1;Flat;30;Zuid;38
3451CT;1;Rijtjeshuis;30;Zuid;43
3451CV;1;Vrijstaand;30;Zuid-west;19
3451DA;1;Rijtjeshuis;30;Zuid-oost;39
3451DC;1;Rijtjeshuis;30;Zuid-west;46
3451DH;1;Rijtjeshuis;30;Zuid;49
3451EA;1;Vrijstaand;30;Zuid-oost;39
3451EB;1;Flat;30;Zuid-oost;31
3451ED;1;Flat;30;Zuid-oost;28
3451EG;1;Flat;30;Zuid-west;22
3451EH;1;2-onder-1;30;Zuid-oost;32
3451EK;1;2-onder-1;30;Zuid;42
3451EL;1;Vrijstaand;30;Zuid;40
3451EM;1;Flat;30;Oost;21
3451ES;1;Flat;30;Zuid-oost;41
3451GA;1;Rijtjeshuis;30;Zuid-oost;45
3451GZ;1;Vrijstaand;30;Zuid;36
3451HT;1;Rijtjeshuis;30;Oost;49
3451HZ;1;Vrijstaand;30;Zuid;46
3451JE;1;Flat;30;Zuid-west;45
3451JH;1;Rijtjeshuis;30;Zuid-west;21
